nickname,phase_count,size_in_kva,brand_name,item_number,model_number,cost_in_dollars,primary_in_volts,primary_winding,secondary_in_volts,secondary_winding,frequency_in_hertz,temperature_in_celsius,product_uri
1-1,1,1,,,,361.69,240,,120,,,,
1-1.5,1,1.5,,,,,,,,,,,
1-2,1,2,,,,,,,,,,,
1-3,1,3,,,,,,,,,,,
1-5,1,5,,,,,,,,,,,
1-7.5,1,7.5,,,,,,,,,,,
1-10,1,10,,,,,,,,,,,
1-15,1,15,,,,,,,,,,,
1-25,1,25,,,,,,,,,,,
1-37.5,1,37.5,,,,,,,,,,,
1-50,1,50,,,,,,,,,,,
1-75,1,75,,,,,,,,,,,
1-100,1,100,,,,,,,,,,,
1-167,1,167,,,,,,,,,,,
1-200,1,200,,,,,,,,,,,
1-250,1,250,,,,,,,,,,,
1-333,1,333,,,,,,,,,,,
3-3,3,3,,,,,,,,,,,
3-6,3,6,,,,,,,,,,,
3-9,3,9,,,,,,,,,,,
3-15,3,15,,,,,,,,,,,
3-30,3,30,,,,,,,,,,,
3-45,3,45,,,,,,,,,,,
3-75,3,75,,,,,,,,,,,
3-112.5,3,112.5,,,,,,,,,,,
3-150,3,150,,,,,,,,,,,
3-225,3,225,,,,,,,,,,,
3-300,3,300,,,,,,,,,,,
3-500,3,500,,,,,,,,,,,
3-750,3,750,,,,,,,,,,,
3-1000,3,1000,,,,,,,,,,,
3-1500,3,1500,,,,,,,,,,,
3-2000,3,2000,,,,,,,,,,,
3-2500,3,2500,,,,,12470,delta,480,wye,60,65,
3-3000,3,3000,,,,,,,,,,,
3-3750,3,3750,,,,,,,,,,,
3-5000,3,5000,,,,,,,,,,,
